bits,quantizer,layer,mse,rmse,max_err,p99_err,p999_err,rel_med,rel_p95,rel_p99,cos_med,cos_p01,n_pairs
8,polar,8,0.1676129698753357,0.4094056189060211,2.1697068214416504,0.8900195360183716,1.446118712425232,0.4324483871459961,1.0,1.0,0.988290548324585,0.0,786432
8,polar,9,0.19120843708515167,0.43727385997772217,2.6141860485076904,0.9815748929977417,1.5913816690444946,0.21559469401836395,1.0,1.0,0.9940453767776489,0.0,786432
8,polar,10,0.2529391050338745,0.5029305219650269,3.257282018661499,1.1304938793182373,2.0907974243164062,0.27127572894096375,1.0,1.0,0.992296576499939,0.0,786432
8,polar,11,0.2798490822315216,0.529007613658905,3.9751734733581543,1.6818772554397583,2.355212450027466,0.246833935379982,1.0,1.0,0.9918315410614014,0.0,786432
8,polar,12,0.09676723927259445,0.31107431650161743,4.500639915466309,0.7703413963317871,2.7046854496002197,1.0,1.0,1.0,0.0,0.0,786432
8,polar,13,0.09536608308553696,0.30881398916244507,3.112578868865967,0.8430046439170837,2.161539077758789,1.0,1.0,1.0,0.0,0.0,786432
8,polar,14,0.06153968349099159,0.24807193875312805,2.603036403656006,0.7333645224571228,1.2371697425842285,1.0,1.0,1.0,0.0,0.0,786432
8,polar,15,0.08586052805185318,0.29301968216896057,4.721139907836914,0.7671912908554077,2.569077968597412,1.0,1.0,1.0,0.0,0.0,786432
8,polar,16,0.07381385564804077,0.2716870605945587,2.6576762199401855,0.7425389885902405,2.012990951538086,1.0,1.0,1.0,0.0,0.0,786432
8,polar,17,0.06964558362960815,0.26390448212623596,2.5005905628204346,0.6462495923042297,1.272511601448059,1.0,1.0,1.0,0.0,0.0,786432
8,polar,18,0.11735745519399643,0.34257474541664124,3.5587995052337646,0.9012810587882996,2.092050552368164,1.0,1.0,1.0,0.0,0.0,786432
8,polar,19,0.09454753249883652,0.30748581886291504,6.352740287780762,0.7233529686927795,4.186847686767578,1.0,1.0,1.0,0.0,0.0,786432
8,polar,20,0.06839004904031754,0.26151490211486816,2.635552406311035,0.7267059087753296,1.4194507598876953,1.0,1.0,1.0,0.0,0.0,786432
8,polar,21,0.07263285666704178,0.2695048451423645,3.8650429248809814,0.7811949253082275,2.025736093521118,1.0,1.0,1.0,0.0,0.0,786432
8,polar,22,0.09761079400777817,0.31242725253105164,4.348836898803711,0.7810253500938416,2.864670753479004,1.0,1.0,1.0,0.0,0.0,786432
8,polar,23,0.06611870974302292,0.2571355998516083,2.4971415996551514,0.7026750445365906,1.4882899522781372,1.0,1.0,1.0,0.0,0.0,786432
8,polar,24,0.07200006395578384,0.2683282792568207,2.407015085220337,0.6735544204711914,1.3927520513534546,1.0,1.0,1.0,0.0,0.0,786432
8,polar,25,0.10311758518218994,0.3211192786693573,5.109847068786621,0.7073131203651428,3.612323760986328,1.0,1.0,1.0,0.0,0.0,786432
8,polar,26,0.09085878729820251,0.3014279007911682,4.996853828430176,0.7065192461013794,3.0365655422210693,1.0,1.0,1.0,0.0,0.0,786432
8,polar,27,0.1407100111246109,0.3751133382320404,6.644921779632568,0.8927146792411804,4.421087265014648,1.0,1.0,1.0,0.0,0.0,786432
8,polar,28,0.09136870503425598,0.3022725582122803,2.6090259552001953,0.9572256803512573,1.5822662115097046,1.0,1.0,1.0,0.0,0.0,786432
8,polar,29,0.10445526242256165,0.3231953978538513,4.617312908172607,1.0050114393234253,1.6821537017822266,1.0,1.0,1.0,0.0,0.0,786432
8,log_polar,ALL,0.38623398542404175,0.6214772462844849,10.567304611206055,2.5746140480041504,5.334014415740967,0.2588520646095276,0.5367394685745239,0.5933000445365906,0.9949731826782227,0.9491081237792969,23592960
8,log_polar,0,0.5980827808380127,0.7733581066131592,4.758939266204834,2.3986568450927734,4.092589378356934,0.23019276559352875,0.5504167079925537,0.5928866267204285,0.9945148229598999,0.9503716826438904,786432
8,log_polar,1,0.9636168479919434,0.9816398620605469,7.676878452301025,4.480513095855713,6.135652542114258,0.2628149092197418,0.5578510165214539,0.6004874110221863,0.9944537281990051,0.9472893476486206,786432
8,log_polar,2,1.0691580772399902,1.0340009927749634,8.015023231506348,5.292452812194824,6.336533069610596,0.23342233896255493,0.5310294032096863,0.5816562175750732,0.9954863786697388,0.9612421989440918,786432
8,log_polar,3,0.6311607956886292,0.7944563031196594,5.620974540710449,3.467471122741699,5.29538631439209,0.2564428448677063,0.5310568809509277,0.5901886820793152,0.9948268532752991,0.9467567205429077,786432
8,log_polar,4,0.7617740035057068,0.8727966547012329,6.5516767501831055,3.3456501960754395,5.247859954833984,0.2731700837612152,0.5465901494026184,0.6042692065238953,0.994570255279541,0.9431047439575195,786432
8,log_polar,5,0.745554506778717,0.8634549975395203,6.307401657104492,3.5821471214294434,5.1683878898620605,0.2558213770389557,0.5314990282058716,0.5912991762161255,0.9949320554733276,0.9502499103546143,786432
8,log_polar,6,0.9297378659248352,0.964229166507721,5.645800590515137,4.466544151306152,5.347222328186035,0.2642582654953003,0.5300884246826172,0.592762291431427,0.9949864149093628,0.9435615539550781,786432
